labels,predictions,outputs,categories
1.0,1.0,0.5054251,ddpm
1.0,1.0,0.5412196,ddpm
1.0,1.0,0.55546266,ddpm
1.0,1.0,0.5659237,ddpm
1.0,0.0,0.48947427,ddpm
1.0,1.0,0.5362372,ddpm
1.0,1.0,0.5057537,ddpm
1.0,1.0,0.5475958,ddpm
1.0,1.0,0.5255439,ddpm
1.0,1.0,0.5131392,ddpm
1.0,1.0,0.50913054,ddpm
1.0,1.0,0.52202666,ddpm
1.0,1.0,0.51624477,ddpm
1.0,1.0,0.51519537,ddpm
1.0,1.0,0.51182264,ddpm
1.0,1.0,0.5218685,ddpm
1.0,1.0,0.50426424,ddpm
1.0,1.0,0.5021019,ddpm
1.0,1.0,0.56457067,ddpm
1.0,1.0,0.5311169,ddpm
1.0,0.0,0.49853322,ddpm
1.0,1.0,0.5290211,ddpm
1.0,0.0,0.4824446,ddpm
1.0,0.0,0.49687302,ddpm
1.0,0.0,0.48785532,ddpm
1.0,1.0,0.55272543,ddpm
1.0,1.0,0.5695361,ddpm
1.0,1.0,0.54100883,ddpm
1.0,1.0,0.5020415,ddpm
1.0,1.0,0.51583475,ddpm
1.0,1.0,0.5038453,ddpm
1.0,1.0,0.556741,ddpm
1.0,1.0,0.5168858,ddpm
1.0,1.0,0.5223079,ddpm
1.0,1.0,0.5260332,ddpm
1.0,1.0,0.5065572,ddpm
1.0,0.0,0.49610054,ddpm
1.0,1.0,0.5266927,ddpm
1.0,1.0,0.5444825,ddpm
1.0,1.0,0.5002398,ddpm
1.0,1.0,0.5029437,ddpm
1.0,1.0,0.5026733,ddpm
1.0,1.0,0.5282723,ddpm
1.0,1.0,0.5313297,ddpm
1.0,0.0,0.49113193,ddpm
1.0,0.0,0.4872222,ddpm
1.0,0.0,0.49389064,ddpm
1.0,1.0,0.56545967,ddpm
1.0,1.0,0.52875173,ddpm
1.0,1.0,0.5268053,ddpm
1.0,1.0,0.5315493,ddpm
1.0,1.0,0.53834784,ddpm
1.0,1.0,0.5457589,ddpm
1.0,1.0,0.5433786,ddpm
1.0,1.0,0.53204477,ddpm
1.0,1.0,0.5537913,ddpm
1.0,1.0,0.5365917,ddpm
1.0,1.0,0.5502104,ddpm
1.0,1.0,0.5068391,ddpm
1.0,1.0,0.554456,ddpm
1.0,0.0,0.4989991,ddpm
1.0,1.0,0.50555056,ddpm
1.0,0.0,0.49854732,ddpm
1.0,1.0,0.54253846,ddpm
1.0,1.0,0.52612734,ddpm
1.0,0.0,0.47366163,ddpm
1.0,1.0,0.5123305,ddpm
1.0,1.0,0.52776194,ddpm
1.0,1.0,0.5493608,ddpm
1.0,0.0,0.49798292,ddpm
1.0,1.0,0.5492659,ddpm
1.0,0.0,0.49673468,ddpm
1.0,1.0,0.5336038,ddpm
1.0,1.0,0.57941777,ddpm
1.0,1.0,0.54989505,ddpm
1.0,0.0,0.47876078,ddpm
1.0,1.0,0.52454513,ddpm
1.0,1.0,0.5465339,ddpm
1.0,0.0,0.48402354,ddpm
1.0,1.0,0.5344994,ddpm
1.0,1.0,0.5218492,ddpm
1.0,1.0,0.5117707,ddpm
1.0,1.0,0.53183365,ddpm
1.0,1.0,0.56239635,ddpm
1.0,1.0,0.51337713,ddpm
1.0,1.0,0.50077814,ddpm
1.0,1.0,0.5531765,ddpm
1.0,1.0,0.5783372,ddpm
1.0,1.0,0.5087209,ddpm
1.0,1.0,0.5548098,ddpm
1.0,1.0,0.5174382,ddpm
1.0,1.0,0.50373423,ddpm
1.0,0.0,0.45756775,ddpm
1.0,1.0,0.52283305,ddpm
1.0,1.0,0.51408505,ddpm
1.0,1.0,0.52051115,ddpm
1.0,1.0,0.51715004,ddpm
1.0,0.0,0.4678599,ddpm
1.0,0.0,0.48490062,ddpm
1.0,0.0,0.4850299,ddpm
1.0,1.0,0.52549064,ddpm
1.0,0.0,0.49799687,ddpm
1.0,1.0,0.54323244,ddpm
1.0,1.0,0.5362864,ddpm
1.0,1.0,0.5318597,ddpm
1.0,0.0,0.4831004,ddpm
1.0,1.0,0.5291895,ddpm
1.0,1.0,0.50949013,ddpm
1.0,0.0,0.4933474,ddpm
1.0,1.0,0.56501395,ddpm
1.0,1.0,0.5236971,ddpm
1.0,1.0,0.50390327,ddpm
1.0,1.0,0.56902176,ddpm
1.0,1.0,0.57295823,ddpm
1.0,1.0,0.51176393,ddpm
1.0,1.0,0.55472445,ddpm
1.0,1.0,0.53476614,ddpm
1.0,1.0,0.53378063,ddpm
1.0,1.0,0.51300657,ddpm
1.0,1.0,0.51833385,ddpm
1.0,1.0,0.54388946,ddpm
1.0,0.0,0.46869478,ddpm
